age,gender,class,Fav Subject,Mrks in Maths,Mrks in Science,Mrks in History,Mrks in geography,Mrks in English,Mrks in Marathi,Mrks in Hindi,Mrks in Computer
12,m,7,Maths,93,90,59,87,77,46,81,37
7,m,2,Geography,61,81,44,85,61,68,70,94
7,m,2,Marathi,69,83,79,81,64,69,60,44
7,f,2,History,57,97,98,44,94,96,81,58
10,f,5,Hindi,55,84,48,71,57,95,51,62
14,m,9,Geography,42,83,97,90,75,49,52,91
7,f,2,History,86,56,69,59,81,45,76,87
12,m,7,Hindi,79,74,82,97,71,51,51,39
15,m,10,English,62,67,57,88,73,89,47,51
10,f,5,Computer,96,66,91,86,95,77,66,61
13,f,8,English,81,79,97,57,41,61,39,46
9,m,4,Computer,94,51,63,82,56,70,65,40
10,m,5,English,44,49,53,84,88,92,55,83
9,f,4,Hindi,96,96,96,35,80,60,91,44
15,m,10,Hindi,38,36,57,51,40,93,65,82
10,m,5,Computer,71,94,75,62,45,77,72,54
12,m,7,Maths,99,87,54,53,39,87,49,37
6,f,1,History,52,93,45,49,87,52,68,90
9,m,4,English,54,58,42,57,53,58,69,52
11,f,6,History,88,51,55,76,98,41,83,89
11,m,6,Science,64,55,40,67,79,64,36,48
14,f,9,History,77,100,92,47,49,79,58,95
7,f,2,Computer,48,61,91,72,63,43,90,66
8,m,3,Geography,70,89,42,63,81,81,88,42
12,m,7,English,38,69,54,68,80,64,72,44
7,m,2,Science,77,69,97,92,97,43,57,57
15,f,10,English,76,36,86,78,70,70,38,69
9,f,4,Science,43,100,68,93,67,79,98,81
12,m,7,History,37,86,53,85,40,85,59,86
11,f,6,Maths,38,55,41,93,75,37,51,94
6,m,1,Maths,79,39,89,90,67,69,54,69
10,m,5,Geography,65,95,62,81,69,89,52,35
7,f,2,History,89,67,39,48,68,90,70,92
11,f,6,English,92,42,76,85,54,70,59,35
10,m,5,Marathi,84,98,80,67,47,71,69,46
15,m,10,History,50,65,57,77,98,76,58,73
9,f,4,Maths,87,39,87,87,74,87,100,68
9,m,4,Geography,85,69,73,51,81,40,45,76
6,m,1,Hindi,96,58,66,95,42,37,53,69
7,m,2,Hindi,65,86,54,49,88,92,37,55
7,f,2,Maths,83,94,86,62,78,68,42,35
14,m,9,English,96,80,66,41,40,39,55,69
6,f,1,Science,72,61,100,93,84,69,36,98
13,m,8,Computer,69,76,56,96,91,80,55,81
13,f,8,Maths,81,36,71,65,37,73,43,89
10,f,5,Marathi,80,98,71,56,41,47,50,63
6,m,1,English,42,93,67,54,74,48,50,57
13,m,8,Maths,92,69,39,89,72,60,69,73
13,m,8,Marathi,42,58,75,75,58,93,79,51
13,f,8,Computer,69,66,41,42,65,96,83,46
13,f,8,English,86,79,84,36,48,96,73,86
6,m,1,Maths,97,71,66,54,77,88,98,84
14,f,9,English,39,62,72,53,74,99,55,77
7,m,2,English,99,67,78,85,74,78,86,40
10,m,5,Geography,91,44,57,88,85,44,50,82
9,f,4,History,73,88,77,82,76,78,36,43
6,f,1,Marathi,94,61,49,74,81,54,89,79
14,m,9,History,74,91,67,47,44,43,51,39
14,m,9,Hindi,52,91,79,38,37,55,71,71
15,f,10,History,79,92,86,85,80,58,85,53
9,m,4,History,99,71,42,47,68,54,88,97
14,m,9,Marathi,37,75,74,53,92,70,74,95
13,m,8,Computer,65,93,100,39,69,35,47,91
12,f,7,Marathi,69,62,76,35,78,44,40,58
12,m,7,Marathi,73,90,86,49,98,75,54,93
6,f,1,English,79,48,57,74,86,43,51,54
13,m,8,Geography,52,73,53,91,88,56,90,45
12,f,7,Marathi,87,40,94,87,87,85,64,73
13,f,8,Marathi,60,40,90,92,47,82,75,83
13,m,8,Geography,41,49,79,69,90,64,91,42
10,m,5,Hindi,54,81,61,73,100,91,44,96
10,m,5,Geography,67,50,86,79,81,66,90,67
9,f,4,Computer,90,47,98,86,93,95,82,43
8,f,3,History,66,74,79,76,75,95,84,38
15,m,10,Marathi,62,76,44,36,81,78,55,47
13,f,8,Maths,39,74,61,59,90,73,45,61
13,m,8,History,52,96,64,38,90,42,51,72
13,m,8,Science,60,91,80,96,91,98,53,75
13,f,8,English,42,94,73,69,63,56,76,98
6,f,1,Maths,49,64,86,71,84,52,62,90
10,m,5,Science,88,38,36,96,80,75,88,52
11,m,6,English,42,75,89,85,55,68,90,98
12,f,7,Geography,55,54,76,94,99,97,45,69
9,m,4,Maths,58,55,95,59,47,71,78,98
14,m,9,Geography,43,73,51,46,74,97,71,94
6,m,1,Hindi,92,94,50,95,46,54,37,85
13,f,8,Science,87,69,80,80,80,68,62,38
15,m,10,Computer,56,59,74,50,37,61,37,84
10,f,5,Maths,76,70,36,52,69,41,53,67
11,m,6,Marathi,85,77,65,74,37,52,66,62
12,f,7,History,59,35,66,65,82,61,82,46
12,f,7,Hindi,80,66,47,80,90,53,70,65
6,m,1,Geography,58,81,62,57,92,48,74,45
11,m,6,Computer,44,52,52,61,74,37,71,78
14,m,9,Science,77,56,87,36,77,90,42,66
6,f,1,Computer,85,98,76,88,65,50,76,82
6,f,1,Hindi,95,65,84,91,62,85,73,52
15,m,10,English,91,77,40,50,60,85,97,58
11,f,6,English,37,68,52,65,36,49,61,95
11,m,6,Geography,79,93,93,96,64,65,38,86
11,m,6,English,68,60,42,56,75,69,36,37
12,f,7,Computer,95,73,57,66,50,75,53,99
10,f,5,Marathi,36,96,46,77,42,46,52,54
7,m,2,Science,93,42,68,49,45,61,86,64
13,m,8,Marathi,55,58,90,77,60,96,44,88
9,f,4,Computer,36,41,49,69,71,86,37,90
11,m,6,History,72,64,49,43,64,68,62,74
8,m,3,English,57,75,60,69,98,87,44,40
9,m,4,History,56,73,83,54,52,41,86,75
7,f,2,History,51,88,53,83,73,61,37,59
10,m,5,English,53,56,43,62,49,94,45,71
15,f,10,Geography,38,47,42,56,94,87,68,87
6,m,1,Hindi,99,72,45,51,93,100,87,36
11,f,6,Marathi,44,69,53,64,87,99,77,70
10,f,5,Computer,46,62,50,49,82,77,78,40
11,m,6,English,87,40,57,79,38,41,72,85
14,m,9,History,53,83,80,54,39,91,82,59
11,m,6,Computer,58,88,82,81,80,95,60,45
9,f,4,Geography,43,84,93,66,90,49,50,44
10,f,5,Hindi,66,68,63,35,52,92,48,99
9,m,4,Science,40,73,73,79,98,37,78,85
15,f,10,Hindi,81,40,90,66,54,39,86,91
10,m,5,Hindi,99,77,37,57,82,53,92,56
10,m,5,Maths,47,96,64,71,97,49,45,75
12,f,7,Maths,87,55,83,82,78,42,82,89
14,f,9,Science,78,57,35,51,91,57,58,72
15,m,10,Geography,90,61,38,44,99,82,99,100
14,m,9,History,100,79,45,42,70,80,80,48
12,f,7,Computer,60,90,76,100,77,67,63,91
12,m,7,Marathi,97,95,75,71,92,79,81,51
10,m,5,Science,44,100,77,81,51,42,94,36
7,m,2,Hindi,91,35,78,58,52,82,85,58
8,f,3,English,55,48,88,61,54,83,62,85
10,m,5,English,78,67,71,92,42,50,55,94
9,f,4,Maths,39,70,70,45,41,89,80,89
13,m,8,Hindi,70,92,37,83,77,35,49,97
6,f,1,English,74,50,65,97,72,78,37,55
8,f,3,Hindi,67,47,73,51,99,47,99,38
15,m,10,Marathi,55,90,82,97,49,65,83,85
13,m,8,Maths,93,77,38,63,84,63,70,94
6,m,1,Geography,50,80,75,97,44,54,61,41
12,f,7,Hindi,53,68,56,57,76,64,91,61
15,f,10,English,41,35,41,62,86,97,63,51
15,m,10,Marathi,85,77,74,62,93,65,90,61
15,f,10,History,96,62,69,41,90,51,100,61
7,m,2,Geography,83,52,39,43,48,51,70,94
6,m,1,Marathi,96,36,75,65,56,47,74,80
13,f,8,Computer,99,96,90,74,56,62,48,96
10,f,5,Maths,43,88,72,63,53,38,77,89
14,m,9,History,55,67,49,45,85,61,98,69
10,m,5,Geography,77,43,78,53,37,47,35,59
7,f,2,English,39,90,80,43,40,81,73,74
8,m,3,Computer,53,62,69,90,71,45,43,98
13,m,8,Maths,96,47,60,58,44,86,100,67
15,m,10,Marathi,54,40,91,63,40,60,57,41
14,f,9,Marathi,96,63,57,37,82,97,86,81
9,m,4,Geography,79,53,97,82,76,65,72,81
12,f,7,Computer,89,72,64,80,43,55,92,47
13,m,8,Science,96,78,61,52,58,44,98,62
7,f,2,Hindi,91,67,93,51,57,96,45,76
15,f,10,Marathi,91,43,80,76,72,49,49,78
7,m,2,Hindi,86,73,93,46,48,66,43,49
15,m,10,Computer,60,50,70,73,42,98,88,60
6,m,1,Computer,79,92,95,87,62,62,98,39
7,f,2,History,62,36,48,89,86,83,96,70
8,f,3,English,77,58,56,86,49,35,67,93
10,m,5,English,56,98,41,92,59,95,85,42
14,f,9,Science,98,39,80,75,83,52,64,82
7,m,2,Computer,95,99,68,38,56,68,90,52
9,m,4,History,37,75,41,75,90,65,86,43
12,f,7,Science,78,94,37,59,83,37,37,66
15,f,10,English,84,78,42,71,36,63,87,57
9,m,4,Computer,57,57,87,56,64,80,59,50
12,m,7,History,57,86,100,82,58,56,35,93
12,f,7,Marathi,80,36,41,74,65,74,84,81
14,m,9,History,60,48,57,75,71,88,79,38
13,m,8,Computer,70,58,51,76,39,78,73,61
13,m,8,History,69,66,61,88,52,57,93,99
6,f,1,Geography,69,98,83,98,66,87,54,59
8,m,3,Computer,41,49,70,42,99,58,77,48
10,f,5,Geography,70,41,39,68,42,73,65,98
8,m,3,Computer,62,91,86,57,94,65,51,99
10,f,5,Hindi,82,72,38,67,94,90,69,95
12,f,7,Geography,95,94,47,35,88,68,45,86
9,m,4,Hindi,100,45,48,70,65,42,52,86
12,m,7,Maths,48,87,68,77,86,90,62,73
10,m,5,Geography,47,79,86,50,41,49,72,76
13,f,8,History,90,60,55,36,65,47,69,38
13,f,8,Maths,89,58,98,86,93,38,70,46
15,m,10,Marathi,67,76,72,85,48,73,100,59
7,f,2,Marathi,54,68,55,98,55,99,84,43
10,m,5,Geography,49,93,62,67,47,95,40,59
12,m,7,History,56,41,46,72,68,45,91,65
10,f,5,Maths,80,78,78,61,90,96,58,66
14,f,9,Computer,35,40,49,96,96,78,92,36
12,m,7,Computer,93,71,36,39,85,73,51,54
8,m,3,Hindi,92,67,86,89,99,51,67,55
6,f,1,English,78,78,48,53,62,73,45,83
6,m,1,Hindi,39,86,70,55,65,45,83,85
6,m,1,Hindi,64,65,58,75,88,84,72,70
9,m,4,English,66,87,91,42,74,73,54,50
6,f,1,Maths,99,66,50,38,99,91,98,89
9,m,4,English,67,70,86,62,100,71,54,56
10,f,5,Computer,76,56,64,75,64,43,93,71
8,m,3,Geography,48,84,93,44,98,78,75,50
11,f,6,Computer,69,73,87,47,67,88,73,64
11,f,6,Science,80,87,98,72,83,57,38,70
6,m,1,English,65,45,67,61,48,75,47,44
6,m,1,Computer,83,96,41,86,72,88,58,58
15,m,10,Science,61,70,54,47,36,84,96,37
11,f,6,Computer,84,59,48,78,95,57,35,58
9,f,4,Marathi,79,77,79,44,52,65,80,94
8,m,3,Geography,54,74,67,43,94,50,98,41
14,f,9,Computer,53,82,61,71,88,53,84,79
11,m,6,History,50,57,53,72,85,35,47,39
14,m,9,Computer,59,96,58,88,75,55,65,88
12,f,7,History,61,75,38,52,69,38,46,53
7,f,2,Maths,47,38,49,66,35,77,57,53
9,m,4,Maths,93,37,39,74,91,76,68,62
9,m,4,Science,76,81,54,51,63,88,58,55
8,f,3,Computer,66,61,81,94,41,99,83,91
12,m,7,Marathi,43,84,76,57,51,65,36,81
8,m,3,Hindi,37,93,46,97,51,40,38,97
7,m,2,Marathi,79,89,69,91,59,90,35,68
8,f,3,Maths,37,50,95,54,75,40,55,89
9,m,4,Computer,96,61,55,67,45,98,65,53
15,f,10,Computer,83,43,62,90,83,48,78,38
10,m,5,Computer,55,64,77,40,92,88,48,53
11,f,6,History,61,63,61,61,85,100,98,84
9,f,4,Hindi,86,92,37,55,75,90,83,85
9,m,4,Hindi,80,38,42,39,73,56,73,60
11,m,6,Hindi,63,50,67,35,36,82,78,86
13,m,8,Science,84,35,75,88,99,48,52,59
13,f,8,English,100,58,56,50,65,92,73,84
7,f,2,English,94,49,62,65,74,37,72,73
12,m,7,Maths,37,99,71,38,65,35,90,35
6,f,1,Maths,48,42,95,72,43,70,51,70
12,m,7,Geography,85,39,52,74,96,85,72,40
13,m,8,Science,44,47,69,80,38,47,35,43
11,f,6,History,58,52,55,56,65,56,64,86
9,f,4,Marathi,45,50,78,88,85,93,92,77
15,m,10,Marathi,74,85,36,65,93,45,84,63
10,m,5,Computer,92,56,51,49,94,99,46,85
12,f,7,English,81,66,92,43,61,44,51,91
11,m,6,Maths,95,88,49,71,87,94,61,46
7,m,2,History,94,48,65,95,91,52,99,42
13,m,8,Science,37,51,88,96,92,42,71,89
15,f,10,History,59,85,38,49,47,65,49,55
6,m,1,Geography,47,96,42,74,77,97,97,52
6,f,1,Computer,48,36,60,98,52,67,99,84
12,m,7,Computer,98,69,78,73,35,61,45,84
9,f,4,Hindi,85,64,87,45,52,50,55,83
9,f,4,Geography,59,99,54,52,39,85,45,57
9,m,4,Computer,40,60,55,96,40,35,68,49
11,m,6,Marathi,81,37,87,35,96,57,58,69
10,m,5,English,60,41,77,41,72,57,73,49
6,f,1,Science,88,54,46,36,65,55,53,58
7,f,2,History,51,46,96,47,50,35,42,56
7,m,2,Geography,41,95,93,60,49,98,74,37
6,f,1,Computer,63,42,82,100,58,43,62,83
9,m,4,Hindi,90,53,99,89,90,75,68,93
13,m,8,Science,57,69,90,92,91,51,55,91
15,f,10,History,73,38,61,66,55,38,37,88
7,f,2,Hindi,45,78,68,94,70,71,46,38
9,m,4,Science,46,53,50,50,89,90,81,71
9,m,4,Geography,72,68,61,89,41,95,83,93
6,f,1,Science,82,40,49,88,41,63,55,50
8,m,3,Geography,94,89,53,59,59,90,72,57
10,m,5,Marathi,56,86,51,72,51,58,49,47
14,m,9,Maths,81,38,75,89,78,87,54,70
7,f,2,Science,87,45,80,60,96,61,62,71
12,m,7,Marathi,72,79,40,79,50,87,75,91
8,f,3,Science,44,39,97,36,93,65,82,61
15,m,10,History,93,43,87,71,42,60,74,72
13,f,8,Geography,68,82,96,57,35,50,99,67
15,f,10,Computer,98,47,77,88,71,99,92,75
15,m,10,Hindi,86,81,88,86,37,39,67,35
9,m,4,Maths,57,73,51,44,93,46,72,90
7,m,2,Science,59,87,87,54,81,69,95,79
15,f,10,English,78,37,57,63,71,70,66,62
15,f,10,Science,87,61,91,82,61,36,51,97
7,m,2,Geography,57,72,50,77,81,88,66,58
14,f,9,Hindi,68,94,76,78,97,100,69,63
14,m,9,History,73,74,49,38,87,43,93,73
10,m,5,Marathi,47,43,71,53,61,80,96,55
10,f,5,Maths,40,62,46,82,93,65,47,51
7,f,2,History,44,82,35,97,47,87,95,35
12,m,7,Maths,45,85,72,37,69,84,57,61
8,m,3,Hindi,69,95,90,43,36,41,47,37
8,f,3,Marathi,91,79,72,61,91,68,68,53
8,m,3,Computer,92,66,54,68,52,60,40,70
14,m,9,History,66,71,70,80,65,94,80,77
10,m,5,English,98,74,40,64,83,96,47,96
12,f,7,Maths,57,72,44,60,84,79,65,78
11,m,6,English,56,48,49,64,82,92,100,66
10,f,5,Science,68,89,50,92,100,59,70,48
15,m,10,Science,37,40,100,41,62,42,98,72
8,f,3,Geography,84,63,57,75,52,41,52,75
9,f,4,Science,64,55,54,59,82,36,85,60
13,m,8,History,57,63,84,35,85,98,89,62
12,m,7,History,44,81,73,68,88,89,49,70
7,m,2,Maths,88,84,92,69,96,62,36,91
10,f,5,Science,75,56,82,95,53,48,90,98
12,f,7,History,70,39,77,63,38,52,59,52
14,m,9,Maths,93,46,36,83,65,56,47,80
9,f,4,Maths,46,98,78,60,54,64,61,41
6,m,1,Maths,91,63,68,55,37,47,42,61
13,m,8,Hindi,74,40,44,59,99,64,82,88
15,f,10,Science,68,97,63,35,88,82,78,86
9,f,4,Geography,75,45,90,71,48,60,86,53
7,m,2,Science,86,89,74,36,79,49,59,79
13,m,8,Maths,55,72,87,58,44,82,88,62
12,f,7,Science,91,77,53,47,94,64,51,91
14,m,9,Maths,90,65,43,40,80,80,59,49
13,m,8,Maths,79,59,38,99,100,78,72,85
7,m,2,Computer,83,51,65,67,35,59,84,97
7,f,2,Geography,52,57,81,82,75,66,93,86
12,m,7,Marathi,96,54,51,99,94,92,57,83
9,f,4,Hindi,73,67,73,95,94,45,40,90
8,m,3,Hindi,86,95,70,41,96,85,89,73
15,f,10,History,40,76,82,80,90,40,60,39
8,f,3,History,68,63,92,50,80,82,67,79
9,m,4,History,97,42,50,52,67,88,92,87
11,m,6,Maths,69,66,44,64,92,41,67,49
15,m,10,English,58,99,44,80,50,57,93,65
7,f,2,Science,94,99,59,59,44,48,55,42
11,f,6,History,46,49,96,70,72,63,36,42
7,m,2,Marathi,45,84,87,85,51,36,42,66
10,f,5,Geography,73,69,76,43,62,51,56,80
14,m,9,History,41,71,51,83,98,60,82,85
13,m,8,Computer,52,76,42,85,54,40,88,90
14,f,9,Computer,80,64,74,54,42,87,76,83
12,f,7,Science,48,38,60,99,44,76,95,47
11,m,6,Maths,82,71,40,100,85,49,89,46
8,m,3,Geography,65,41,82,48,100,98,68,96
6,f,1,Geography,67,96,93,63,73,73,82,63
7,m,2,Geography,98,92,42,71,44,79,38,87
11,m,6,History,47,43,86,72,55,42,71,64
11,m,6,Marathi,100,81,51,87,59,99,91,81
9,f,4,Computer,37,66,50,81,70,77,71,91
11,m,6,Maths,66,56,70,49,41,56,68,83
7,f,2,Computer,96,72,50,56,93,73,46,88
6,m,1,Maths,43,54,80,95,39,79,94,85
12,f,7,History,65,43,91,40,47,50,93,76
6,f,1,English,41,99,46,41,89,57,88,98
6,m,1,Maths,73,90,71,93,61,72,39,36
10,m,5,Science,54,80,93,41,35,78,84,87
8,m,3,Computer,90,88,85,95,58,46,76,77
10,f,5,English,64,97,57,51,57,43,59,79
12,f,7,History,68,80,35,79,73,99,44,70
12,m,7,Hindi,38,60,66,94,47,67,85,100
13,f,8,Science,68,78,58,43,76,50,95,37
10,m,5,Computer,59,98,48,64,63,41,73,84
6,m,1,History,97,65,91,50,89,86,37,97
7,f,2,Science,54,63,74,52,43,75,89,93
6,f,1,Marathi,38,37,100,97,83,88,86,54
7,m,2,Hindi,81,42,74,58,89,67,60,79
13,m,8,Hindi,44,78,76,58,99,66,89,48
14,f,9,History,78,71,95,54,94,40,47,86
9,m,4,Hindi,99,78,76,94,55,43,52,98
13,m,8,Marathi,65,53,59,87,79,75,87,63
15,m,10,English,89,57,37,53,39,97,76,41
7,f,2,Maths,64,48,35,65,63,87,88,99
10,m,5,English,87,68,61,85,79,82,85,36
11,f,6,Computer,66,44,63,92,57,94,58,41
11,m,6,Geography,93,55,95,67,77,59,85,88
12,f,7,Geography,45,91,69,37,87,63,65,58
10,f,5,Computer,83,53,81,85,63,77,88,41
10,m,5,Hindi,95,89,85,89,80,66,79,90
11,m,6,Science,74,52,89,49,61,65,98,62
6,m,1,Marathi,74,86,53,99,60,70,58,74
12,f,7,Computer,35,90,82,37,55,73,49,92
12,f,7,Computer,89,69,81,42,93,50,72,49
6,m,1,English,40,48,75,42,52,62,70,49
12,f,7,English,92,57,82,49,43,37,98,58
13,m,8,History,57,55,69,81,55,50,44,60
12,m,7,English,50,37,78,50,94,38,88,39
7,f,2,History,36,87,59,91,91,48,85,100
6,f,1,Computer,95,81,57,89,48,97,66,81
6,m,1,Marathi,59,83,82,71,46,73,69,68
13,m,8,History,57,70,76,39,94,41,56,79
12,f,7,History,37,50,67,47,95,58,71,50
8,m,3,Geography,99,83,45,72,97,47,47,50
6,m,1,Maths,99,58,98,60,98,51,62,47
13,m,8,Marathi,76,100,45,88,96,49,77,79
11,f,6,Hindi,69,47,100,95,69,98,90,90
14,m,9,Marathi,55,71,40,56,44,71,86,95
11,f,6,History,80,82,94,61,38,100,95,88
13,m,8,English,55,47,66,40,76,53,85,42
10,f,5,Hindi,46,65,77,36,63,36,64,94
8,f,3,English,74,39,50,93,87,74,46,97
6,m,1,Marathi,75,71,86,56,73,72,91,56
7,m,2,English,53,97,100,45,46,73,41,72
11,m,6,Hindi,56,67,61,41,98,81,95,96
13,f,8,Geography,92,83,45,59,96,68,99,87
13,f,8,Maths,72,70,61,75,74,42,71,39
14,m,9,Maths,51,73,78,80,55,98,79,43
14,f,9,Hindi,62,82,62,78,65,63,47,68
13,m,8,Computer,83,61,81,63,59,62,92,59
11,m,6,Science,99,66,35,64,45,40,53,52
14,f,9,Computer,57,43,60,63,59,50,60,70
15,f,10,Science,45,62,78,43,71,91,58,54
10,m,5,Science,92,89,92,89,50,74,46,52
8,m,3,Marathi,99,63,92,81,73,62,48,89
13,f,8,History,61,41,90,51,80,46,58,94
7,m,2,Geography,40,100,37,83,83,83,42,54
10,m,5,Hindi,80,69,97,83,67,67,38,43
6,m,1,Computer,67,82,53,45,57,83,99,62
8,f,3,Science,51,80,38,85,63,67,92,65
14,m,9,Computer,47,52,57,62,99,98,72,50
6,f,1,Hindi,36,100,57,58,47,89,39,77
9,m,4,Marathi,89,53,82,69,68,42,43,88
13,f,8,Hindi,76,91,87,94,98,75,72,45
6,f,1,Computer,71,74,84,73,37,88,52,96
7,m,2,Geography,40,54,57,52,62,46,96,92
10,m,5,Computer,49,44,44,92,69,69,91,50
8,m,3,English,38,95,99,57,38,37,67,51
15,f,10,Geography,42,82,70,63,44,53,50,95
14,f,9,Computer,51,82,41,63,76,58,82,76
7,m,2,Hindi,40,65,38,39,49,63,99,76
9,f,4,Geography,82,62,46,45,64,36,100,63
15,m,10,Science,64,75,98,72,56,37,88,68
6,m,1,Hindi,50,98,80,97,58,49,74,100
14,f,9,Science,61,36,66,66,58,38,87,84
15,f,10,Maths,71,61,58,42,49,74,97,58
15,m,10,Marathi,92,65,91,94,53,54,76,100
11,m,6,Marathi,97,82,80,70,71,37,82,52
8,f,3,Science,83,46,67,67,57,76,96,92
10,m,5,Maths,39,82,52,46,55,61,35,73
11,m,6,Science,49,99,35,48,85,59,63,41
15,m,10,English,91,86,90,60,74,72,86,75
9,f,4,English,43,61,47,58,70,54,74,70
11,m,6,Marathi,98,76,100,80,61,88,100,60
14,f,9,Maths,60,90,55,43,42,42,83,96
8,m,3,Computer,75,39,89,78,91,93,39,97
9,f,4,History,76,37,50,54,36,45,67,99
8,f,3,Hindi,50,79,73,63,45,42,71,51
6,m,1,Maths,48,57,49,49,82,88,36,78
11,m,6,Marathi,53,65,86,62,90,93,83,41
7,m,2,History,56,64,52,73,65,95,90,59
15,f,10,Hindi,99,41,96,95,43,100,50,88
11,f,6,Geography,39,46,90,55,42,50,84,47
12,m,7,Hindi,64,95,54,75,53,41,87,77
11,f,6,Science,45,75,63,50,43,82,65,41
9,m,4,English,89,85,89,49,79,60,56,77
13,m,8,English,78,84,64,85,35,100,99,73
8,f,3,Hindi,65,75,90,56,56,55,46,71
7,f,2,Science,100,81,70,91,99,98,73,37
13,m,8,History,71,41,36,50,51,50,55,58
8,m,3,Hindi,50,51,40,78,64,48,60,65
12,f,7,Science,41,100,87,98,61,77,47,44
15,m,10,Hindi,49,44,71,93,86,38,44,73
15,m,10,Science,88,96,64,72,39,90,89,74
9,m,4,Geography,53,54,68,65,87,53,95,36
9,f,4,History,80,99,100,78,38,95,69,95
7,m,2,Geography,67,55,93,38,70,43,100,42
8,f,3,Computer,90,81,37,87,100,74,77,46
14,m,9,Maths,72,51,45,64,99,40,99,79
8,f,3,Hindi,77,40,39,49,91,66,69,36
7,f,2,Geography,93,65,57,68,50,86,85,97
9,m,4,History,43,53,35,44,61,51,80,50
14,m,9,English,54,81,92,98,46,84,78,48
11,m,6,Computer,78,49,38,81,53,65,94,85
13,f,8,Geography,47,83,81,59,46,79,91,75
9,f,4,Science,46,66,48,80,87,73,82,94
13,m,8,Computer,46,41,42,78,75,94,53,56
9,f,4,Computer,81,46,48,99,46,78,40,60
7,m,2,Hindi,90,98,73,92,43,66,81,70
10,m,5,Marathi,40,61,96,56,42,55,68,55
6,f,1,Geography,35,62,78,44,35,99,96,97
15,f,10,Computer,58,75,76,37,88,79,90,97
15,m,10,Science,88,81,83,84,67,79,91,82
10,m,5,English,87,45,58,42,54,49,94,56
8,f,3,Science,45,88,97,71,79,49,65,68
10,m,5,Marathi,43,80,44,98,41,55,51,88
9,m,4,English,64,44,80,40,80,96,92,37
10,m,5,Science,44,72,63,78,88,60,43,48
9,f,4,History,65,67,90,48,94,56,92,54
7,m,2,Geography,100,78,91,73,98,49,51,62
9,f,4,Maths,56,47,91,82,53,67,46,52
15,m,10,Science,93,49,49,55,41,54,41,56
6,f,1,English,65,84,58,59,37,84,81,73
8,f,3,Marathi,68,54,61,38,94,36,35,35
12,m,7,History,91,42,98,67,74,58,71,82
8,m,3,History,98,93,85,47,88,63,96,49
13,m,8,Hindi,79,66,49,49,44,57,59,37
8,f,3,History,76,84,55,40,49,94,58,49
12,f,7,Computer,49,74,50,38,71,52,67,65
6,m,1,History,42,35,53,51,51,70,84,46
9,f,4,Marathi,68,60,98,52,76,73,67,56
14,m,9,Geography,90,37,81,39,62,36,86,41
9,m,4,English,85,89,98,68,64,86,62,98
8,f,3,Science,83,52,91,67,67,67,79,65
15,f,10,Computer,66,43,60,99,39,57,36,61
13,m,8,English,78,59,93,46,92,96,90,54
8,m,3,Geography,65,79,93,89,51,98,79,99
13,f,8,History,79,99,64,82,61,95,49,52
15,m,10,Marathi,94,56,50,83,96,62,54,49
7,m,2,English,82,95,53,70,78,65,83,69
7,m,2,Marathi,81,59,51,79,96,93,64,73
11,f,6,Hindi,56,84,44,63,77,76,37,75
15,m,10,Geography,95,73,100,39,49,60,38,45
9,f,4,Geography,37,52,38,43,43,37,93,71
6,m,1,Science,72,87,79,84,72,61,72,86
14,f,9,Marathi,78,42,71,53,44,61,38,43
12,f,7,English,55,70,72,72,36,92,67,98
7,m,2,Hindi,37,100,70,100,56,59,100,93
11,m,6,Geography,85,46,72,50,58,58,44,85
14,m,9,Marathi,81,69,54,85,62,41,88,58
10,f,5,Computer,94,57,96,82,47,39,60,42
11,f,6,Geography,96,77,49,44,84,42,56,66
8,m,3,Hindi,60,70,59,95,37,45,91,89
14,f,9,History,98,81,96,37,37,74,52,44
7,m,2,Science,39,96,56,88,46,86,66,65
6,m,1,Geography,46,81,85,61,54,61,42,65
8,f,3,Computer,52,48,51,59,43,48,48,96
7,f,2,Geography,70,85,86,59,65,100,50,43
9,m,4,Computer,57,41,38,80,35,100,100,75
12,m,7,History,50,72,97,90,91,63,95,44
6,f,1,Computer,83,74,38,48,78,51,90,80
11,m,6,History,59,91,45,59,54,53,50,58
14,m,9,Hindi,56,48,76,55,99,35,66,35
8,m,3,Maths,96,41,96,78,52,47,43,39
8,f,3,Science,90,59,57,72,38,69,66,76
13,m,8,History,43,44,88,77,61,93,49,80
10,f,5,History,44,67,98,40,76,88,36,62
9,m,4,English,40,89,51,37,75,78,59,63
8,f,3,Science,99,84,43,46,67,40,63,37
6,f,1,Maths,66,75,70,38,47,87,96,44
10,m,5,History,83,93,52,99,77,55,69,47
8,m,3,History,88,37,83,77,36,36,81,55
15,m,10,Science,94,86,75,88,95,40,96,49
14,f,9,Hindi,37,61,98,45,78,43,58,71
7,f,2,Maths,87,44,73,60,76,45,51,51
13,m,8,English,58,94,43,53,36,55,86,93
11,f,6,English,37,54,88,40,95,99,98,37
11,m,6,History,59,63,73,56,59,89,82,95
15,m,10,Marathi,89,70,39,78,82,45,61,88
8,f,3,Science,64,71,64,82,85,54,57,93
10,f,5,Geography,59,78,81,91,66,55,97,54
8,m,3,Maths,96,76,66,96,63,87,88,41
6,m,1,Hindi,44,63,88,74,53,88,49,95
9,f,4,Maths,89,47,50,67,91,41,67,52
7,m,2,Geography,68,95,79,57,51,66,69,59
